place_id,Name,District,Description,Region,Category,Entry_fee_id,Estimated_time_to_visit,Latitude,Longitude
WE-COL001,Colombo National Museum,Colombo,Colombo National Museum shows history and culture with many old things to see,Western,Museum,WE-COL001-FEE,1.00,6.9271,79.8612
CE-KAN002,Temple of the Tooth,Kandy,Temple of the Tooth is famous for holding Buddha’s tooth and many people visit to pray,Central,Religious Site,CE-KAN002-FEE,2.00,7.2936,80.6411
SO-GAL003,Galle Fort,Galle,Galle Fort has old walls and buildings from colonial times and a beautiful sea view,Southern,Historical Site,SO-GAL003-FEE,2.00,6.0327,80.217
NO-JAF004,Nallur Kandaswamy Kovil,Jaffna,Nallur Kovil is a big and colorful Hindu temple with a peaceful place to pray,Northern,Religious Site,NO-JAF004-FEE,1.00,9.6685,80.0074
NC-ANU005,Sigiriya Rock Fortress,Anuradhapura,Sigiriya is a giant rock with old palace ruins and wall paintings to climb and explore,North Central,Historical Site,NC-ANU005-FEE,7.00,7.957,80.7603
CE-NUW006,Gregory Lake,Nuwara Eliya,Gregory Lake is a nice lake to walk around  ride boats and enjoy cool weather,Central,Lake,CE-NUW006-FEE,2.00,6.9572,80.7852
EA-TRI007,Koneswaram Temple,Trincomalee,Koneswaram Temple is on a cliff by the sea and known for its views and worship,Eastern,Religious Site,EA-TRI007-FEE,1.00,8.5874,81.2329
SO-MAT008,Dondra Head Lighthouse,Matara,Dondra Head Lighthouse is the southern point of Sri Lanka with sea views and old charm,Southern,Historical Site,SO-MAT008-FEE,1.00,5.9206,80.5861
UV-BAD009,Diyaluma Falls,Badulla,Diyaluma is a tall waterfall with natural pools where people enjoy swimming,Uva,Waterfall,UV-BAD009-FEE,2.00,6.7589,81.0058
NW-KUR010,Ritigala Forest Monastery,Kurunegala,Ritigala has ruins hidden in forest and a peaceful place to walk and explore,North Western,Religious Site,NW-KUR010-FEE,2.00,8.0753,80.7009
CE-KAN011,Udawatta Kele Sanctuary,Kandy,Udawatta Kele Sanctuary is a quiet forest reserve where visitors see birds and monkeys,Central,Wildlife Park,CE-KAN011-FEE,2.00,7.288,80.6246
SO-GAL012,Mihidu Beach,Galle,Mihidu Beach is a calm place for swimming and relaxing on soft sand,Southern,Beach,SO-GAL012-FEE,2.00,6.0405,80.2182
NO-JAF013,Jaffna Library,Jaffna,Jaffna Library is a large  historic library rebuilt after conflict and a symbol of knowledge,Northern,Northern,NO-JAF013-FEE,1.00,9.6635,80.0233
NC-ANU014,Anuradhapura Sacred City,Anuradhapura,Anuradhapura Sacred City has ancient temples and ruins for pilgrims and history lovers,North Central,Religious Site,NC-ANU014-FEE,7.00,8.3114,80.4037
CE-NUW015,Horton Plains National Park,Nuwara Eliya,Horton Plains is a highland park with walking trails  wildlife  and scenic views,Central,Wildlife Park,CE-NUW015-FEE,7.00,6.817,80.7984
EA-TRI016,Uppuveli Beach,Trincomalee,Uppuveli Beach offers golden sand and clear waters  perfect for relaxing and swimming,Eastern,Beach,EA-TRI016-FEE,2.00,8.5693,81.243
SO-MAT017,Polhena Reef,Matara,Polhena Reef is popular for snorkeling with colorful fish and coral,Southern,Beach,SO-MAT017-FEE,2.00,5.9474,80.5482
