Name,District,Description,Region,Category,Eestimated_time_to_visit,Foreign_Adult,Foreign_Child,Local_Adult,Local_Child,Student,Free_Entry,Latitude,Longitude,Main Image,Thumbnail_Image,Gallery_Image 1,Gallery_Image 2,Gallery_Image 3
Viharamahadevi Park,Colombo,"Relaxed park with jogging trails, kids' play areas, space for picnics & activities like cycling.",West,Nature,2.5,0,0,0,0,0,Yes,6.913626045,79.8617202,,,,,
Lotus Tower,Colombo,"Lotus Tower, Colombo, Sri Lanka is a sleek, lotusâ€‘shaped communications and observation tower rising 350â€¯m above the cityscape and Beira Lake. It offers panoramic views, a revolving restaurant, observation deck, and leisure facilities for visitors",West,Scenic,3,,,,,,,6.928025622,79.8582869,,,,,
Port City,Colombo,"Port City is a new modern city being built on land next to the ocean in Colombo, Sri Lanka. It will have tall buildings, parks, shopping areas, and places for business and fun.",West,Urban,3,,,,,,,6.937331175,79.83703965,,,,,
Galle Face,Colombo,"Galle Face is a big open area by the sea in Colombo where people go to relax and have fun. Many families and friends come here to eat snacks, fly kites, and watch the sunset",West,Beach,2,,,,,,,6.926115273,79.8436794,,,,,
Gangaramaya Temple,Colombo,"Historic Buddhist temple with a robust collection of artifacts & statues, plus vocational training.",West,Religious,2,,,,,,,6.916991413,79.85662414,,,,,
One Galle face mall,Colombo,"One Galle Face Mall is Sri Lankaâ€™s largest modern shopping centre built on the seaside in Colombo. It has seven floors of shops, restaurants, a cinema and a fun indoor play area for kids.",West,Urban,3,,,,,,,6.927351802,79.8446964,,,,,
Colombo City Center,Colombo,"Colombo City Centre is a modern mall in the heart of Colombo, Sri Lanka, offering shopping, dining, and entertainment. It's located near Beira Lake and the Seema Malakaya temple",West,Urban,2,,,,,,,6.91760036,79.85504322,,,,,
Sima Malakaya,Colombo,"Seema Malaka is a peaceful Buddhist temple on platforms over Beira Lake in Colombo, Sri Lanka. Itâ€™s a quiet place for meditation and rest, built in a beautiful minimalist style by famed architect Geoffrey Bawa",West,Religious,2,,,,,,,6.919872934,79.85406613,,,,,
Marino mall,Colombo,"Marino Mall is a modern shopping center in Colombo, Sri Lanka, located along Galle Road. It offers a variety of retail stores, dining options, and entertainment facilities, including a VR center and a 9D cinema.",West,Urban,3,,,,,,,6.90056992,79.85303834,,,,,
Aluthkade Streetfood,Colombo,"This bustling stretch along Abdul Hameed Street is a vibrant nighttime hub for Sri Lankan and fusion street food, open from early evening until past midnight. Itâ€™s a sensory-rich journey through kottu, BBQ, pani puri etc",West,Urban,2,,,,,,,6.938023149,79.86307387,,,,,
Dehiwala Zoological Gardens,Colombo,"Dehiwala, Colombo is one of the oldest and most beloved zoos in Asia, established in 1936 and home to over 3,000 animals across more than 300 species. It features engaging elephant and sea lion shows",West,Wildlife,5,,,,,,,6.857236743,79.8744025,,,,,
Independence Square,Colombo,"This serene city landmark centers around the majestic Independence Memorial Hallâ€”an architectural tribute in traditional Kandyan style built to commemorate Sri Lankaâ€™s independence on February 4, 1948",West,Historical,2,,,,,,,6.904410801,79.86763452,,,,,
Beddagana Wetland Park,Colombo,"This peaceful 18-hectare urban wetland sanctuaryâ€”opened in 2016 and part of the Diyawanna Oya flood-plain sanctuaryâ€”features boardwalk trails, observation decks, and zones like Butterfly Walk, Duck Pond",West,Nature,3,,,,,,,6.890869325,79.90653476,,,,,
Sri Lanka Planetarium,Colombo,this landmark building with a distinctive lotus-inspired dome offers immersive shows under a 23â€¯m fullâ€‘dome projector. Audiences journey through the universe using vintage Carl Zeiss visualization technology,West,Scenic,2,,,,,,,6.900974122,79.86287065,,,,,
Colombo National Museum,Colombo,"Step into Sri Lankaâ€™s glorious past at the islandâ€™s largest museum, where royal crowns, ancient statues, and colonial treasures tell timeless stories. Housed in a stunning white palace, itâ€™s a must-visit for culture lovers and history buffs",West,Historical,3,,,,,,,6.91020146,79.86083882,,,,,
Holy Spirit Church - Kochchikade,Colombo,Step into a peaceful sanctuary at the heart of Colombo where devotees from all walks of life gather to pray at the site of miracles. Called St. Anthonyâ€™s Shrine and built in grand neoclassical style,West,Religious,2,,,,,,,7.265782561,79.8586807,,,,,
Diyatha Uyana Park,Colombo,"Embrace the lakeside buzz at this vibrant urban oasis with floating cafes, open-air markets, and scenic sunset strolls beside Diyawanna Oya.",West,Nature,2,,,,,,,6.904777363,79.9098313,,,,,
Diyasaru Park,Colombo,"Lose yourself in the verdant beauty of a thriving 60â€‘acre urban wetland packed with boardwalks, observation towers, and serene boat ridesâ€”perfect for birdwatching and eco learning right beside Colomboâ€™s Parliament precinct",West,Nature,2,,,,,,,6.87995657,79.9292402,,,,,
Bellanwila Park,Colombo,"Stretching along the peaceful Weras Lake, Bellanwila Park is a scenic 3â€¯km loop ideal for jogging, cycling, or a sunset stroll. With well-maintained walking tracks, bike rentals, and a lakeside food court, it's a relaxing urban escape that locals love",West,Nature,2,,,,,,,6.841792642,79.89380425,,,,,
Bellanwila Rajamaha Viharaya,Colombo,"A tranquil temple haven rooted in over 2,300 years of sacred tradition, this revered shrine features one of the thirty-two ancient Bo saplings from the original Anuradhapura Jaya Sri Maha Bodhi.",West,Religious,2,,,,,,,6.846334902,79.8899933,,,,,
Mount Lavinia Beach,Colombo,"Mount Lavinia Beach is a vibrant coastal destination in Colombo, offering a golden stretch of sand perfect for swimming, sunbathing, and enjoying the Indian Ocean's gentle waves",West,Beach,2,,,,,,,6.844097167,79.86210692,,,,,
Kelaniya Raja Maha Viharaya,Colombo,"Sacred, historic temple said to be visited by the Buddha with paintings by a renowned artist.

 ",West,Religious,2,,,,,,,6.952081592,79.91849125,,,,,
Crow Island Beach Park,Colombo,"Nestled in Colombo's northern suburbs, Crow Island Beach Park is a tranquil coastal retreat offering scenic walking trails, a children's playground, and a unique mangrove forest",West,Beach,2,,,,,,,6.973607381,79.86943838,,,,,
Jami Ul-Alfar Mosque-Red Church,Colombo,"A dazzling eyeâ€‘catcher in red and white striped elegance, the Red Mosque stands in Colomboâ€™s bustling Pettah districtâ€”a visual delight and spiritual hub built in just one year (1908â€“1909)",West,Religious,2,,,,,,,6.938623898,79.85165361,,,,,
Water World Kelaniya,Colombo,"Water World Kelaniya is Sri Lankaâ€™s premier public aquarium, featuring over 500 species of aquatic life, including rare creatures like the Arapaima and electric eel. ",West,Adventure,2,,,,,,,6.944437146,79.94234598,,,,,
Floating Market - Pettah,Colombo,"Nestled along the Beira Lake in the heart of Colombo, the Pettah Floating Market is a vibrant blend of tradition and modernity, featuring 92 floating and canal-side stalls offering local produce, handicrafts, and street food.",West,Urban,2,,,,,,,6.932889052,79.85530114,,,,,
Maligathenna Raja Maha Viharaya,Gampaha,"A peaceful ancient rock temple surrounded by forests, known for its hidden caves, scenic views, and tranquil meditation-friendly environment.",Western,Religious,1.5,0,0,0,0,0,Yes,7.084350534,80.06160734,,,,,
Meethirigala Nissarana Forest,Gampaha,"A renowned forest monastery and meditation center offering complete silence, calm jungle paths, and a serene escape for spiritual seekers.",Western,Nature,2,0,0,0,0,0,Yes,6.997564611,80.17227471,,,,,
Werahera Natural Bathing Pool,Gampaha,"A clean and shallow natural river pool popular among locals for a refreshing dip, perfect for families and nature lovers seeking a quiet swim.",Western,Nature,1.5,0,0,0,0,0,Yes,7.021747737,80.1481428,,,,,
Dungalpitiya Beach,Gampaha,"A calm and lesser-known coastal stretch with golden sands and beautiful sunsets, great for a peaceful evening walk or a relaxing sea breeze.",Western,Beach,2,0,0,0,0,0,Yes,7.151240791,79.8293847,,,,,
Kelaniya Water World,Gampaha,"A lively water park featuring thrilling slides, lazy rivers, and splash pools, ideal for families and groups seeking a fun-filled aquatic escape.",Western,Adventure,4,3500,2500,2000,1500,1000,No,6.944415846,79.94237817,,,,,
Muthurajawela,Gampaha,"A lush wetland eco-reserve with boat rides through mangrove forests and birdwatching opportunities, perfect for nature lovers and photographers.",Western,Nature,2.5,0,0,0,0,0,Yes,7.082932843,79.85241756,,,,,
Thewatta Church - Ragama,Gampaha,"A historic Roman Catholic church featuring colonial-style architecture and peaceful surroundings for prayer, reflection, and cultural insight.",Western,Religious,1,0,0,0,0,0,Yes,7.033829211,79.93503383,,,,,
Bopitiya Beach,Gampaha,"A quiet and uncrowded stretch of beach ideal for picnics, sunset views, and relaxing walks away from the tourist rush.",Western,Beach,1.5,0,0,0,0,0,Yes,7.082993882,79.84855432,,,,,
Uswetakeiyawa Beach,Gampaha,"A popular seaside destination known for calm waters, seafood stalls, and scenic views, perfect for family outings and swimming.",Western,Beach,2,0,0,0,0,0,Yes,7.063230779,79.85456129,,,,,
Preethipura Beach,Gampaha,"A peaceful, less-crowded beach with soft sands and gentle waves, ideal for quiet relaxation, sea bathing, and watching local fishermen at work.",Western,Beach,1.5,0,0,0,0,0,Yes,6.997219299,79.86731492,,,,,
Dikkanda Walawwa,Gampaha,"A colonial-era ancestral mansion reflecting Sri Lankan architectural elegance, now a private heritage site occasionally open for cultural visits.",Western,Historical,1.5,500,250,300,200,150,No,7.068010539,80.09673764,,,,,
Lunugama Raja Peella,Gampaha,"A natural freshwater spring with historical significance, surrounded by forest, offering a refreshing dip and a tranquil picnic spot.",Western,Nature,1.5,0,0,0,0,0,Yes,6.980986327,80.0853968,,,,,
Dehiella Waterfall,Gampaha,"A hidden gem waterfall nestled in forest cover, perfect for a short hike and enjoying unspoiled nature and a cool bath under the cascading waters.",Western,Nature,2,0,0,0,0,0,Yes,7.103453655,80.16736239,,,,,
Alawala Cave,Gampaha,"A prehistoric limestone cave featuring unique rock formations, attracting explorers and nature enthusiasts interested in Sri Lanka’s ancient past.",Western,Adventure,2,0,0,0,0,0,Yes,7.131859734,80.19261164,,,,,
Dutch Fort,Gampaha,"A small colonial fort in Negombo built by the Portuguese and modified by the Dutch, offering historical charm and views of the lagoon.",Western,Historical,1.5,0,0,0,0,0,Yes,6.933935458,79.84350217,,,,,
Negombo Prison,Gampaha,"A colonial-era structure still in use, visible from outside only; historically significant but restricted to public access.",Western,Historical,1,0,0,0,0,0,Yes,7.208446121,79.83096417,,,,,
Browns Beach,Gampaha,"A well-known beach in Negombo with golden sands, calm waters, and nearby resorts — perfect for swimming, sunbathing, and water activities.",Western,Beach,2.5,0,0,0,0,0,Yes,7.238608375,79.84071489,,,,,
Kohobagala Mountain,Gampaha,"A moderately challenging mountain ideal for trekking, surrounded by lush greenery and offering stunning sunrise views from the summit.",Western,Nature,2.5,0,0,0,0,0,Yes,7.217934788,80.17819618,,,,,
Pettagamkanda Viharaya,Gampaha,"A tranquil hilltop temple surrounded by nature, featuring ancient shrines and panoramic views, perfect for quiet reflection and spiritual visits.",Western,Religious,1.5,0,0,0,0,0,Yes,7.072235284,80.10272269,,,,,
"Tonadiya Falls, Mirigama",Gampaha,"A scenic waterfall nestled in lush greenery near Mirigama, ideal for nature lovers and those looking for a quiet escape and refreshing bath.",Western,Nature,2,0,0,0,0,0,Yes,7.251789739,80.14214962,,,,,
Weboda Ancient Raja Maha Viharaya,Gampaha,"A historical Buddhist temple with ancient ruins and sacred stupas, known for its spiritual significance and peaceful forest surroundings.",Western,Religious,1.5,0,0,0,0,0,Yes,7.023113108,80.0000274,,,,,
Gampaha Oruthota Walking Trail,Gampaha,"A riverside walking trail perfect for relaxing strolls, birdwatching, and enjoying the calm waters of the Attanagalu Oya.",Western,Scenic,1.5,0,0,0,0,0,Yes,7.08321882,79.98673764,,,,,
Galindawatta Ambalama,Gampaha,"A traditional wayside rest stop from the Kandyan era, showcasing simple yet elegant heritage architecture and used historically by travelers.",Western,Historical,1,0,0,0,0,0,Yes,7.08205733,80.06073069,,,,,
Maligathenna Pilikutthu Rajamaha,Gampaha,"An ancient cave temple complex hidden in a forested area, featuring historical murals, stone inscriptions, and a peaceful environment.",Western,Religious,1.5,0,0,0,0,0,Yes,7.065372749,80.05015176,,,,,
Kelaniya Rajamaha Viharaya,Gampaha,"A sacred Buddhist temple believed to be visited by Lord Buddha, famous for its stunning murals, sculptures, and annual Duruthu Perahera festival.",Western,Religious,2,0,0,0,0,0,Yes,6.952070942,79.91839469,,,,,
Guruge Nature Park,Gampaha,"A family-friendly theme and nature park combining wildlife exhibits, dinosaur models, cultural replicas, and fun activities for kids.",Western,Adventure,3,2000,1500,1200,800,600,No,7.067397697,79.90115211,,,,,
Attanagalla Rajamaha Viharaya,Gampaha,"A majestic temple with historical significance as the place where King Siri Sangabo offered his life, featuring ancient ruins and forest serenity.",Western,Religious,1.5,0,0,0,0,0,Yes,7.113987557,80.1355005,,,,,
Gale Devalaya Minuwangoda,Gampaha,"A sacred shrine nestled among rocks and trees, believed to have spiritual powers, attracting devotees for blessings and traditional rituals.",Western,Religious,1,0,0,0,0,0,Yes,7.181501176,79.966061,,,,,
Agurukaramulla Temple,Gampaha,"A famous Buddhist temple in Negombo featuring a massive seated Buddha statue, ancient murals, a dragon entrance, and a large stupa.",Western,Religious,1.5,0,0,0,0,0,Yes,7.209964428,79.85366419,,,,,
Hamilton Canal Negombo,Gampaha,"A historic Dutch-built canal running parallel to the coast, offering boat rides, scenic views, and glimpses of Negombo's rich colonial heritage.",Western,Scenic,1.5,0,0,0,0,0,Yes,7.244614188,79.84539461,,,,,
Horagolla National Park,Gampaha,"A small but rich biodiversity hotspot with tall trees, rare birds, and wildlife, ideal for nature walks and peaceful exploration.",Western,Nature,2,1500,800,100,50,50,No,7.142153133,80.0833113,,,,,
Manella Waterfall,Gampaha,"A hidden, less-explored waterfall surrounded by forest, offering a refreshing natural bath and quiet retreat for hikers and nature lovers.",Western,Nature,2,0,0,0,0,0,Yes,7.119166562,80.27240427,,,,,
Uruwala Walagamba Rajamaha Viharaya,Gampaha,"A sacred Buddhist temple believed to be connected to King Walagamba, featuring ancient architecture and a tranquil atmosphere for spiritual seekers.",Western,Religious,1.5,0,0,0,0,0,Yes,7.056655282,80.05176761,,,,,
Pilikuthtuwa Balumgala,Gampaha,"A rugged mountain peak surrounded by dense forest, popular among trekkers for its challenging trails and spectacular panoramic views.",Western,Nature,3,0,0,0,0,0,Yes,7.252667859,80.51545616,,,,,
Bopagama Falls,Gampaha,"A serene waterfall located amidst greenery, perfect for a peaceful visit and cooling dip in nature’s tranquility.",Western,Nature,1.5,0,0,0,0,0,Yes,7.071530485,80.16365308,,,,,
